,condition,num_letters,type,prime,target,correct_response,block
6,identical,4,animal,goat,goat,a,block3
15,identical,4,animal,lion,lion,a,block3
24,identical,5,animal,bison,bison,a,block3
33,identical,5,animal,koala,koala,a,block3
42,identical,5,animal,rhino,rhino,a,block3
51,identical,6,animal,beaver,beaver,a,block3
60,identical,6,animal,jaguar,jaguar,a,block3
69,identical,6,animal,walrus,walrus,a,block3
78,identical,7,animal,dolphin,dolphin,a,block3
87,identical,7,animal,raccoon,raccoon,a,block3
96,identical,8,animal,antelope,antelope,a,block3
105,identical,8,animal,flamingo,flamingo,a,block3
114,identical,8,animal,platypus,platypus,a,block3
6,identical,4,fruit_veg,pome,pome,f,block3
15,identical,4,fruit_veg,plum,plum,f,block3
24,identical,5,fruit_veg,onion,onion,f,block3
33,identical,5,fruit_veg,grape,grape,f,block3
42,identical,5,fruit_veg,prune,prune,f,block3
51,identical,6,fruit_veg,carrot,carrot,f,block3
60,identical,6,fruit_veg,orange,orange,f,block3
69,identical,6,fruit_veg,squash,squash,f,block3
78,identical,7,fruit_veg,coconut,coconut,f,block3
87,identical,7,fruit_veg,pumpkin,pumpkin,f,block3
96,identical,8,fruit_veg,broccoli,broccoli,f,block3
105,identical,8,fruit_veg,zucchini,zucchini,f,block3
114,identical,8,fruit_veg,cucumber,cucumber,f,block3
1,semi-scrambled,4,animal,blul,bull,a,block3
10,semi-scrambled,4,animal,hrae,hare,a,block3
19,semi-scrambled,4,animal,mnik,mink,a,block3
28,semi-scrambled,5,animal,cmeal,camel,a,block3
37,semi-scrambled,5,animal,msoue,mouse,a,block3
46,semi-scrambled,5,animal,teigr,tiger,a,block3
55,semi-scrambled,6,animal,cgaour,cougar,a,block3
64,semi-scrambled,6,animal,rbiabt,rabbit,a,block3
73,semi-scrambled,7,animal,bluaffo,buffalo,a,block3
82,semi-scrambled,7,animal,glilroa,gorilla,a,block3
91,semi-scrambled,7,animal,oputucs,octupus,a,block3
100,semi-scrambled,8,animal,cunhpmik,chipmunk,a,block3
109,semi-scrambled,8,animal,ttosorie,tortoise,a,block3
118,semi-scrambled,8,animal,knroaoga,kangaroo,a,block3
1,semi-scrambled,4,fruit_veg,baen,bean,f,block3
10,semi-scrambled,4,fruit_veg,cron,corn,f,block3
19,semi-scrambled,4,fruit_veg,lmie,lime,f,block3
28,semi-scrambled,5,fruit_veg,giala,galia,f,block3
37,semi-scrambled,5,fruit_veg,mgano,mango,f,block3
46,semi-scrambled,5,fruit_veg,paceh,peach,f,block3
55,semi-scrambled,6,fruit_veg,crhery,cherry,f,block3
64,semi-scrambled,6,fruit_veg,ppeepr,pepper,f,block3
73,semi-scrambled,7,fruit_veg,aocpirt,apricot,f,block3
82,semi-scrambled,7,fruit_veg,snpicah,spinach,f,block3
91,semi-scrambled,7,fruit_veg,lteucte,lettuce,f,block3
100,semi-scrambled,8,fruit_veg,eangglpt,eggplant,f,block3
109,semi-scrambled,8,fruit_veg,mohrousm,mushroom,f,block3
118,semi-scrambled,8,fruit_veg,cekicaph,chickpea,f,block3
5,fully-scrambled,4,animal,lcfa,calf,a,block3
14,fully-scrambled,4,animal,bmal,lamb,a,block3
23,fully-scrambled,4,animal,amup,puma,a,block3
32,fully-scrambled,5,animal,rhseo,horse,a,block3
41,fully-scrambled,5,animal,anpad,panda,a,block3
50,fully-scrambled,6,animal,bmotwa,wombat,a,block3
59,fully-scrambled,6,animal,oynked,donkey,a,block3
68,fully-scrambled,6,animal,ettlur,turtle,a,block3
77,fully-scrambled,7,animal,ekhicnc,chicken,a,block3
86,fully-scrambled,7,animal,rhtamse,hamster,a,block3
95,fully-scrambled,7,animal,nieugnp,penguin,a,block3
104,fully-scrambled,8,animal,teneahpl,elephant,a,block3
113,fully-scrambled,8,animal,aaesoehr,seahorse,a,block3
5,fully-scrambled,4,fruit_veg,taed,date,f,block3
14,fully-scrambled,4,fruit_veg,epra,pear,f,block3
23,fully-scrambled,4,fruit_veg,lkea,kale,f,block3
32,fully-scrambled,5,fruit_veg,monel,lemon,f,block3
41,fully-scrambled,5,fruit_veg,levio,olive,f,block3
50,fully-scrambled,6,fruit_veg,struci,citrus,f,block3
59,fully-scrambled,6,fruit_veg,aglrci,garlic,f,block3
68,fully-scrambled,6,fruit_veg,toatop,potato,f,block3
77,fully-scrambled,7,fruit_veg,oacvdoa,avocado,f,block3
86,fully-scrambled,7,fruit_veg,urbarbh,rhubarb,f,block3
95,fully-scrambled,7,fruit_veg,isaprpn,parsnip,f,block3
104,fully-scrambled,8,fruit_veg,liscanlo,scallion,f,block3
113,fully-scrambled,8,fruit_veg,toroetbe,beetroot,f,block3
