"","ID","letters","numbers"
"1","1",676.2,1296.4
"2","2",1348.8,925.3
"3","3",2801,2261.9
"4","4",712.6,509.5
"5","5",679,443.6
"6","6",1229.5,936.8
"7","7",710.8,547.6
"8","8",1102.5,524.5
"9","9",3903.2,3529.4
"10","10",825.3,831.9
"11","11",1119.4,987.9
"12","12",961.6,1045.2
"13","13",1926,NA
"14","14",608,NA
"15","15",695,NA
"16","16",530.2,1264.3
"17","17",1094.3,679.7
"18","18",1224,625.5
"19","19",495.3,867.2
"20","20",803.7,565.9
"21","21",964.9,777.9
"22","22",484.1,479.2
"23","23",731.5,472
"24","24",1560.1,1631
"25","25",892.2,386.7
"26","26",902.3,1099.7
"27","27",2455.5,NA
